timestamp,open,high,low,close
2017-03-30,3.9245,3.9469,3.9185,3.9411
2017-03-29,3.9207,3.9474,3.9128,3.9226
2017-03-28,3.9093,3.9242,3.8887,3.9207
2017-03-27,3.9346,3.9361,3.8954,3.9091
2017-03-26,3.9460,3.9469,3.9256,3.9354
2017-03-25,3.9460,3.9460,3.9460,3.9460
2017-03-24,3.9548,3.9642,3.9353,3.9475
2017-03-23,3.9646,3.9703,3.9454,3.9539
2017-03-22,3.9554,3.9783,3.9473,3.9646
2017-03-21,3.9731,3.9781,3.9458,3.9544
2017-03-20,3.9764,3.9823,3.9600,3.9731
2017-03-19,3.9826,3.9826,3.9826,3.9826
2017-03-17,4.0001,4.0065,3.9769,3.9826
2017-03-16,4.0168,4.0310,3.9896,4.0001
2017-03-15,4.0690,4.0721,4.0100,4.0169
2017-03-14,4.0640,4.0792,4.0560,4.0689
2017-03-13,4.0578,4.0757,4.0437,4.0644
2017-03-12,4.0565,4.0624,4.0483,4.0569
2017-03-10,4.0892,4.0919,4.0438,4.0565
2017-03-09,4.0880,4.0949,4.0648,4.0898
2017-03-08,4.0728,4.0915,4.0665,4.0880
2017-03-07,4.0706,4.0828,4.0561,4.0731
2017-03-06,4.0513,4.0787,4.0444,4.0705
2017-03-05,4.0511,4.0542,4.0445,4.0503
2017-03-03,4.0892,4.0987,4.0422,4.0511
2017-03-02,4.0556,4.0970,4.0535,4.0881
2017-03-01,4.0719,4.0922,4.0424,4.0560
2017-02-28,4.0712,4.0808,4.0524,4.0719
2017-02-27,4.0843,4.0896,4.0506,4.0712
2017-02-26,4.0840,4.0850,4.0716,4.0844
2017-02-25,4.0840,4.0840,4.0840,4.0840
2017-02-24,4.0664,4.0868,4.0533,4.0638
2017-02-23,4.0714,4.0900,4.0557,4.0658
2017-02-22,4.0764,4.0993,4.0608,4.0738
2017-02-21,4.0687,4.0963,4.0624,4.0764
2017-02-20,4.0754,4.0828,4.0575,4.0686
2017-02-19,4.0800,4.0841,4.0695,4.0753
2017-02-18,4.0775,4.0775,4.0775,4.0775
2017-02-17,4.0419,4.0831,4.0352,4.0632
2017-02-16,4.0668,4.0726,4.0359,4.0430
2017-02-15,4.0675,4.0883,4.0587,4.0668
2017-02-14,4.0675,4.0858,4.0365,4.0678
2017-02-13,4.0404,4.0735,4.0324,4.0675
2017-02-12,4.0359,4.0459,4.0340,4.0397
2017-02-10,4.0484,4.0538,4.0274,4.0365
2017-02-09,4.0305,4.0555,4.0250,4.0484
2017-02-08,4.0297,4.0584,4.0217,4.0305
2017-02-07,3.9956,4.0408,3.9906,4.0297
2017-02-06,3.9886,4.0072,3.9793,3.9956
2017-02-05,3.9880,3.9909,3.9758,3.9888
2017-02-03,4.0072,4.0159,3.9735,3.9880
2017-02-02,3.9966,4.0152,3.9722,4.0072
2017-02-01,4.0007,4.0239,3.9901,3.9982
2017-01-31,4.0485,4.0585,3.9940,4.0006
2017-01-30,4.0434,4.0780,4.0330,4.0485
2017-01-29,4.0475,4.0598,4.0315,4.0434
2017-01-28,4.0475,4.0475,4.0475,4.0475
2017-01-27,4.0674,4.0795,4.0376,4.0376
2017-01-26,4.0493,4.0806,4.0394,4.0674
2017-01-25,4.0713,4.0795,4.0422,4.0493
2017-01-24,4.0570,4.0800,4.0512,4.0723
2017-01-23,4.0812,4.0840,4.0525,4.0575
2017-01-22,4.0817,4.0848,4.0705,4.0812
2017-01-21,4.0845,4.0845,4.0845,4.0845
2017-01-20,4.1018,4.1119,4.0743,4.0845
2017-01-19,4.0999,4.1257,4.0887,4.1018
2017-01-18,4.0728,4.1080,4.0679,4.0999
2017-01-17,4.1259,4.1295,4.0666,4.0719
2017-01-16,4.1243,4.1429,4.1145,4.1258
2017-01-15,4.1205,4.1330,4.0936,4.1243
2017-01-13,4.1163,4.1327,4.0921,4.1205
2017-01-12,4.1278,4.1348,4.0904,4.1163
2017-01-11,4.1392,4.1808,4.1097,4.1278
2017-01-10,4.1379,4.1480,4.1137,4.1391
2017-01-09,4.1352,4.1725,4.1273,4.1382
2017-01-08,4.1340,4.1435,4.1299,4.1352
2017-01-06,4.1158,4.1422,4.1005,4.1192
2017-01-05,4.1646,4.1760,4.1081,4.1158
2017-01-04,4.2138,4.2209,4.1562,4.1643
2017-01-03,4.2146,4.2426,4.1985,4.2139
2017-01-02,4.1902,4.2291,4.1789,4.2146
2017-01-01,4.1820,4.1985,4.1795,4.1895
2016-12-30,4.1977,4.2072,4.1373,4.1820
2016-12-29,4.2273,4.2326,4.1927,4.1977
2016-12-28,4.2042,4.2491,4.1893,4.2275
2016-12-27,4.2168,4.2290,4.1921,4.2042
2016-12-26,4.2145,4.2312,4.2028,4.2098
2016-12-25,4.2099,4.2215,4.2045,4.2120
2016-12-24,4.2099,4.2099,4.2099,4.2099
2016-12-23,4.2304,4.2392,4.2030,4.2175
2016-12-22,4.2282,4.2423,4.1936,4.2304
2016-12-21,4.2419,4.2498,4.2151,4.2282
2016-12-20,4.2473,4.2710,4.2336,4.2419
2016-12-19,4.2351,4.2591,4.2113,4.2497
2016-12-18,4.2108,4.2434,4.2108,4.2348
2016-12-16,4.2523,4.2641,4.2111,4.2265
2016-12-15,4.2123,4.2798,4.2086,4.2524
2016-12-14,4.1634,4.2244,4.1427,4.2123
2016-12-13,4.1807,4.1963,4.1569,4.1634
2016-12-12,4.2108,4.2278,4.1734,4.1787
2016-12-11,4.2115,4.2209,4.2027,4.2103
2016-12-09,4.1822,4.2309,4.1695,4.2115
2016-12-08,4.1162,4.1985,4.1020,4.1852
2016-12-07,4.1582,4.1693,4.1092,4.1162
2016-12-06,4.1795,4.1937,4.1511,4.1585
2016-12-05,4.2542,4.2672,4.1616,4.1795
2016-12-04,4.2014,4.2560,4.1946,4.2546
2016-12-03,4.2014,4.2014,4.1980,4.1980
2016-12-02,4.2119,4.2255,4.1948,4.2049
2016-12-01,4.2025,4.2241,4.1820,4.2120
2016-11-30,4.1636,4.2169,4.1554,4.2025
2016-11-29,4.1649,4.1942,4.1569,4.1635
2016-11-28,4.1665,4.1890,4.1320,4.1649
2016-11-27,4.1545,4.1713,4.1522,4.1645
2016-11-25,4.1833,4.2040,4.1484,4.1545
2016-11-24,4.1998,4.2121,4.1740,4.1844
2016-11-23,4.1524,4.2077,4.1378,4.2000
2016-11-22,4.1602,4.1794,4.1412,4.1524
2016-11-21,4.1909,4.1971,4.1514,4.1600
2016-11-20,4.1812,4.1956,4.1804,4.1909
2016-11-18,4.1742,4.2097,4.1635,4.1845
2016-11-17,4.1601,4.1822,4.1225,4.1743
2016-11-16,4.1058,4.1804,4.0860,4.1602
2016-11-15,4.1149,4.1356,4.0673,4.1103
2016-11-14,4.0829,4.1346,4.0686,4.1143
2016-11-13,4.0870,4.0870,4.0622,4.0823
2016-11-11,4.0141,4.0962,3.9993,4.0870
2016-11-10,3.9738,4.0279,3.9578,4.0136
2016-11-09,3.9280,3.9794,3.8432,3.9689
2016-11-08,3.9177,3.9370,3.9091,3.9280
2016-11-07,3.9000,3.9289,3.8864,3.9177
2016-11-06,3.8822,3.9150,3.8809,3.9000
2016-11-04,3.8857,3.9016,3.8781,3.8880
2016-11-03,3.8969,3.9089,3.8763,3.8857
2016-11-02,3.8893,3.9034,3.8806,3.8969
2016-11-01,3.9230,3.9308,3.8798,3.8893
2016-10-31,3.9487,3.9650,3.9153,3.9232
2016-10-30,3.9650,3.9650,3.9360,3.9487
2016-10-28,3.9802,3.9807,3.9422,3.9488
2016-10-27,3.9659,3.9842,3.9522,3.9802
2016-10-26,3.9634,3.9731,3.9456,3.9659
2016-10-25,3.9741,3.9759,3.9477,3.9634
2016-10-24,3.9756,3.9857,3.9549,3.9741
2016-10-23,3.9702,3.9814,3.9688,3.9756
2016-10-21,3.9497,3.9851,3.9459,3.9814
2016-10-20,3.9251,3.9628,3.9201,3.9497
2016-10-19,3.9273,3.9388,3.9181,3.9251
2016-10-18,3.9260,3.9413,3.9099,3.9289
2016-10-17,3.9289,3.9432,3.9169,3.9268
2016-10-16,3.9200,3.9304,3.9200,3.9289
2016-10-14,3.8853,3.9301,3.8804,3.9200
2016-10-13,3.8996,3.9224,3.8783,3.8853
2016-10-12,3.8716,3.9133,3.8661,3.8996
2016-10-11,3.8277,3.8794,3.8235,3.8716
2016-10-10,3.8255,3.8391,3.8195,3.8277
2016-10-09,3.8298,3.8298,3.8178,3.8253
2016-10-07,3.8390,3.8583,3.8150,3.8298
2016-10-06,3.8348,3.8458,3.8278,3.8390
2016-10-05,3.8413,3.8491,3.8219,3.8348
2016-10-04,3.8300,3.8551,3.8262,3.8413
2016-10-03,3.8224,3.8381,3.8118,3.8300
2016-10-02,3.8233,3.8289,3.8175,3.8224
