timestamp,open (PLN),high (PLN),low (PLN),close (PLN),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2017-08-30,16157.42093748,16286.72818449,15982.67740003,16223.81999382,4546.05640865,4566.63355512,4476.76238089,4535.93518602,1007.70779433,4570897.24152519
2017-08-29,15589.45588051,16178.17507741,15544.04272364,16154.87679926,4384.10359121,4562.53773408,4377.11472902,4545.34058922,1369.81068167,6226256.09094031
2017-08-28,15568.83374339,15673.41692671,15306.99785165,15588.98256274,4378.04932561,4415.26586991,4294.27225068,4383.97048367,771.45587816,3382039.79930906
2017-08-27,15498.51350988,15639.27291555,15367.03111132,15619.35698508,4336.58286742,4396.00791193,4297.98934701,4392.25676387,554.57832289,2435850.38980950
2017-08-26,15664.35037376,15717.06942841,15330.39283970,15498.51961801,4382.95809863,4397.70913535,4289.51522717,4336.58457652,580.16038264,2515914.56726293
2017-08-25,15598.37339909,15899.73368134,15459.51616227,15664.35450343,4318.84525268,4440.79750276,4309.78371346,4382.95925413,1022.79325138,4482861.14619642
2017-08-24,15218.04548322,15657.55772740,15164.90142925,15599.23025701,4197.70169298,4337.14385481,4177.28572961,4319.08249772,946.23200298,4086854.08285084
2017-08-23,15020.44754698,15555.75652214,14982.44555952,15218.42003843,4134.15726311,4281.11368477,4122.53590077,4197.80500921,1032.83561384,4335642.51346852
2017-08-22,14631.65677165,14742.65712577,14046.77281500,14696.10058591,4038.46924615,4069.87919159,3877.13123944,4041.72179743,1745.51633592,7054891.42265740
2017-08-21,14936.17364423,15067.51191635,14583.43279012,14604.99179999,4104.31298052,4140.62076048,4025.15899227,4031.10947345,885.72549992,3570456.45360785
2017-08-20,15186.77900217,15214.67859374,14909.97358528,14967.31292106,4179.02312906,4186.62800825,4103.30482718,4112.86974620,527.30694049,2168744.76250338
2017-08-19,15178.41483157,15348.19602887,14747.41968162,15186.83114416,4176.71921909,4223.43874795,4058.12015943,4179.03747724,1189.79739408,4972207.90018068
2017-08-18,15706.81195533,15966.67832811,14814.31888138,15205.12797421,4308.14035027,4383.43948610,4076.53138547,4184.07000621,1990.90412355,8330082.22858781
2017-08-17,15557.70699530,16147.60374908,15253.52671750,15720.63021026,4290.83429734,4441.54451957,4210.13420116,4311.93048806,1995.02308582,8602400.86814025
2017-08-16,14949.11775695,15595.13354032,14208.35065994,15565.86036790,4091.16523179,4293.08300731,3890.08020079,4293.08300731,1750.49144884,7515005.09345396
2017-08-15,15518.92233717,15836.44440337,13696.53411873,14970.22073811,4264.40320786,4358.09106971,3739.44850165,4096.94054136,3298.54634668,13513948.25525181
2017-08-14,14522.93447719,15680.60202273,14237.58591364,15587.57434073,4000.76431036,4315.10565349,3929.30628358,4283.26790850,2214.56570032,9485578.19545274
2017-08-13,14047.28524368,15140.39442252,13758.97223716,14510.29610354,3874.89938312,4176.08451869,3795.13674192,3997.28270309,2421.10809738,9677853.51997602
2017-08-12,13261.08521711,14174.85296009,13079.87782595,14013.72749183,3657.47166853,3910.46607724,3607.49379051,3865.64258298,2352.72819222,9094806.28603154
2017-08-11,12469.86772089,13403.21270314,12425.63301109,13243.39204215,3426.39969250,3696.67111902,3415.97313191,3652.59180500,1511.07146362,5519327.24478171
2017-08-10,12230.66496982,12556.71277735,12210.21558311,12461.75439788,3368.33632230,3454.24861172,3355.97977298,3424.17035951,1035.39775387,3545378.29910303
2017-08-09,12284.94328610,12318.69161573,11813.71348845,12234.23423700,3388.06663810,3394.23349289,3250.19113658,3369.31930175,1145.66314116,3860104.93481259
2017-08-08,11986.75586092,12387.05310794,11901.48461173,12287.95255705,3325.12853641,3438.34096192,3303.16942916,3388.89656546,1687.72539761,5719526.80340306
2017-08-07,11267.94001348,11986.55022969,11210.56856175,11986.55022969,3129.94421277,3325.07149427,3115.05488908,3325.07149427,1764.80326930,5868097.04374197
2017-08-06,11190.99984121,11422.17623251,10925.53411914,11290.26192069,3104.15746331,3167.63532891,3029.52683992,3136.14466505,1241.46410653,3893411.03454410
2017-08-05,10088.28884483,11460.58579452,10085.13339353,11199.46315478,2798.28769136,3178.93516511,2797.41243287,3106.50501566,3393.52509629,10542002.73238723
2017-08-04,9923.41996608,10142.63228082,9816.21573495,10090.92843216,2779.98872870,2816.68356405,2749.70958230,2799.01985961,1288.64927697,3606954.91830797
2017-08-03,9719.72863790,9946.59636378,9671.20757746,9938.52237054,2704.88733855,2786.29855671,2690.34006923,2784.21957999,986.70190867,2747194.77373266
2017-08-02,9805.34431084,9913.20884439,9607.62814189,9698.76104496,2719.95849909,2756.53055530,2674.99552948,2699.05230150,1189.78113020,3211281.49775279
2017-08-01,10137.59895092,10190.79271522,9605.41883585,9813.26397115,2817.71381783,2831.61343987,2664.87781377,2722.15537731,1639.78107389,4463738.86790195
2017-07-31,9831.03239227,10160.18626471,9770.24113606,10076.20362441,2715.83732994,2827.13663744,2693.56706487,2800.64917948,1210.87404671,3391233.40536619
2017-07-30,9834.86932160,9896.67499653,9686.82178129,9820.09954679,2716.58959799,2730.74173281,2675.35446442,2712.81711510,683.74204398,1854867.11922495
2017-07-29,9984.87753769,10007.27915565,9729.96396775,9835.25763165,2757.32343806,2763.50964375,2686.92906833,2716.69685707,730.35214247,1984145.37000160
2017-07-28,9635.06073824,10016.93178944,9635.06073824,9983.33447655,2649.30921471,2766.17521809,2649.30921471,2756.89732180,1801.40724573,4966294.81122538
2017-07-27,9174.78295128,9650.55161478,9174.78295128,9635.08448619,2532.75627028,2653.56867120,2530.36963913,2649.31574458,1711.12365247,4533306.83340497
